"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-label Emoji Prediction on an Urdu Twitter Dataset using Deep Learning","T. Abbas; M. A. Aziz; D. Khalid Saleem; F. Tuz Zuhra","Department of Computer Science, Quaid-i-Azam University, Islamabad; Department of Computer Science, University of Peshawar; Department of Computer Science, University of Peshawar; Department of Computer Science, University of Peshawar",2025 International Conference on Frontiers of Information Technology (FIT),"13 Jan 2026","2025","","","1","6","Urdu has a complex linguistic structure. It has notable challenges for Natural Language Processing (NLP), especially in emoji prediction on platforms like Twitter. Despite emojis enhancing emotional expression globally, Urdu remains underexplored due to limited resources. This study addresses multi-label, multi-class emoji prediction using a large-scale dataset of 1 million Urdu tweets. This dataset labeled with both single and multiple emojis, covering 2,114 unique emojis. Sequential models like LSTM showed limitations in capturing long-range dependencies, while transformer-based models, particularly fine-tuned RoBERTa, offered better contextual understanding. We further introduce a novel Semantic Similarity-Based Emoji Prediction (SSEP) approach, combining word and emoji embeddings with Facebook AI Similarity Search (FAISS) to enhance semantic matching and retrieval. Comparative evaluation with English, Chinese, Hindi, and Arabic methods highlights the unique low-resource constraints of Urdu. Results demonstrate that transformer-based and semantic similarity methods outperform traditional models, with SSEP achieving the highest performance, establishing its effectiveness for emoji prediction in low-resource languages.","2473-7569","979-8-3315-7480-2","10.1109/FIT67061.2025.11333609","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11333609","Emoji prediction;Low-resource Languages;Natural Language Processing;Semantic Similarity;Urdu language;RoBERTa;SSEP;Transformer Models;Multi-label;Deep Learning","Deep learning;Social networking (online);Semantics;Blogs;Predictive models;Transformers;Natural language processing;Multilingual;Emojis;Context modeling","","","","22","IEEE","13 Jan 2026","15-16 Dec. 2025","15-16 Dec. 2025","IEEE","IEEE Conferences"
"A Semantic Search Engine for Turkish and English Research Resources","O. Karabacak; E. Inan","Department of Computer Engineering, Izmir Institute of Technology, Urla, Izmir, Turkiye; Department of Computer Engineering, Izmir Institute of Technology, Urla, Izmir, Turkiye",2025 Innovations in Intelligent Systems and Applications Conference (ASYU),"30 Oct 2025","2025","","","1","5","Research resources are growing in volume at an exponential rate across disciplines and languages. This exponential increase has created a pressing need for intelligent search systems that can help researchers efficiently access relevant academic material. To overcome this issue, this study introduces a bilingual semantic search engine designed to retrieve academic articles written in both Turkish and English. The primary goal is to improve the accuracy and relevance of academic information retrieval by using modern Natural Language Processing techniques. Instead of relying on traditional keyword-based search methods, the system leverages transformer-based sentence embedding models. To capture semantic meaning more effectively, MiniLM-L6v2, paraphrase-multilingual-MiniLM-L12-v2 and multilingual-e5-base models were chosen for their multilingual capabilities and sentence-level embedding performance. To assess the quality of search results, Mean Average Precision (MAP) and Normalized Discounted Cumulative Gain (nDCG) were used. These metrics were calculated for each model across both language groups. Evaluation results show that the multilingual-e5-base model consistently outperformed the other models in both MAP and nDCG scores, demonstrating superior semantic understanding and multilingual alignment. The system also features a simple and responsive Streamlit-based interface that allows for real-time querying and result display.","2770-7946","979-8-3315-9727-6","10.1109/ASYU67174.2025.11208360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208360","Turkish;semantic search;cross-lingual;natural language processing;sentence transformers","Measurement;Technological innovation;Accuracy;Semantic search;Pressing;Transformers;Real-time systems;Multilingual;Reliability;Engines","","","","10","IEEE","30 Oct 2025","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Applications of Deep Learning in Japanese Machine Translation","C. Qian","Xi'an Fanyi University, Xi'an, China","2025 International Conference on Algorithm, Artificial Intelligence and Computer Vision (AAICV)","23 Jul 2025","2025","","","314","318","In the context of the acceleration of global economic integration, the communication between China and Japan is increasing, and the demand for efficient and accurate Japanese machine translation is also growing. However, the traditional machine translation model is often difficult to meet the needs of practical applications in terms of translation quality. In recent years, the development of deep learning technology has brought new opportunities and promising solutions to the field of machine translation. This study explores the application effect of deep learning technology, especially Bi-LSTM, in Japanese machine translation, and makes a comparative analysis with LSTM. By constructing a Chinese-Japanese parallel corpus and combining with multi-dimensional evaluation indicators such as BLEU score, METEOR score and manual evaluation, this paper systematically evaluates the performance of Bi-LSTM model in terms of grammatical accuracy, semantic integrity, cultural adaptability and fluency. The results show that the Bi-LSTM model outperforms the LSTM model significantly in all indicators, especially in dealing with long-distance dependencies and cross-language cultural differences, which provides a new method to improve the quality of Japanese machine translation.","","979-8-3315-1470-9","10.1109/AAICV66571.2025.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11083004","Deep Learning;Japanese;Machine Translation;LSTM;Bi-LSTM","Deep learning;Adaptation models;Accuracy;Translation;Semantics;Machine translation;Cultural differences;Meteors;Long short term memory;Context modeling","","1","","10","IEEE","23 Jul 2025","21-23 March 2025","21-23 March 2025","IEEE","IEEE Conferences"
"Combining Large Language Model and Supportive Models for Legal Question Answering","L. Vu Van; H. L. Hong","University of Engineering and Technology, Vietnam National University, Ha Noi, Viet Nam; University of Engineering and Technology, Vietnam National University, Ha Noi, Viet Nam",2025 17th International Conference on Knowledge and System Engineering (KSE),"30 Dec 2025","2025","","","1","6","This paper details the methods proposed by the BAMBOOVN team during their participation in the 5th Automated Legal Question Answering Competition (ALQAC 2025). During the competition we have to resolve two main tasks: Legal Document Retrieval and Legal Question Answering. For the Legal Document Retrieval task we applied an ensemble method: semantic searching with embedding outputs from BGE-M3 transformer model and traditional ranking methods using word information: BM25, TF-IDF supported by a topic classification model. After pre-ranking step we used a relevant classification model to grade the retrieved document as relevant or not relevant. These supportive models (topic/relevant classification) were trained by combining both original data and LLM-augmented data for better accuracy. The final score is combined using tuned hyperparameters and will be compared with an ensemble threshold to get filtered. For the Legal Question Answering task, we have three types of questions: true/false questions, multiple-choices question and free-text question. Suppose that the retrieved document from previous stage is correct, we address this problem by using Large Language Model (LLM) with prompt engineering technique to attain the generalization of LLM on the question answering task. While our approach did not attain the highest scores in the competition, it proved that using LLM-synthesized data within an adaptive pipeline (integrating LLMs with auxiliary models) effectively mitigates data scarcity limitations.","2694-4804","979-8-3315-8900-4","10.1109/KSE68178.2025.11309535","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11309535","Large Language Model;Legal Document Retrieval;Legal Question Answering;Retrieval-Augmented Generation","Adaptation models;Accuracy;Law;Large language models;Retrieval augmented generation;Pipelines;Transformers;Systems engineering and theory;Question answering (information retrieval);Data models","","","","15","IEEE","30 Dec 2025","6-8 Nov. 2025","6-8 Nov. 2025","IEEE","IEEE Conferences"
"Adapting LLM to Generate Vulnerability Descriptions and Repair Suggestions","W. Tao; Y. Ke; Z. Dong; Y. Li; X. Su","Faculty of Computing, Harbin Institute of Technology, Harbin, China; Faculty of Computing, Harbin Institute of Technology, Harbin, China; Faculty of Computing, Harbin Institute of Technology, Harbin, China; Signal Processing Laboratory, Beijing Huahang Radio Measurement Research Institute, Beijing, China; Faculty of Computing, Harbin Institute of Technology, Harbin, China",2025 IEEE 5th International Conference on Software Engineering and Artificial Intelligence (SEAI),"14 Aug 2025","2025","","","184","188","Software vulnerabilities pose serious threats to the security of modern software systems. Existing detection tools can flag or pinpoint vulnerability but offer little guidance on how to fix them. In this paper, we leverage the generative and reasoning strengths of LLMs to bridge this gap, combining prompt tuning, retrieval-augmented generation, and chain-of-thought techniques to produce both clear vulnerability descriptions and concrete repair suggestions. We evaluated five mainstream LLMs on the BigVul dataset, and the combination of RAG and CoT methods achieves leading performance across multiple metrics in both the vulnerability description generation and repair suggestion generation tasks.","","979-8-3315-1361-0","10.1109/SEAI65851.2025.11108759","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108759","Software Security;Vulnerability Repair;Large Language Model;Chain of Thought;Retrieval-Augmented Generation","Measurement;Large language models;Retrieval augmented generation;Coherence;Maintenance engineering;Software systems;Cognition;Security;Tuning;Software engineering","","","","12","IEEE","14 Aug 2025","20-22 June 2025","20-22 June 2025","IEEE","IEEE Conferences"
"Research on Optimized BERT Model for Sentence Generation Algorithm in English-Chinese Translation","J. Zhang; X. Zhuo","Guangdong University of Science and Technology, Guangdong, China; Guangdong University of Science and Technology, Guangdong, China","2025 5th International Conference on Artificial Intelligence, Big Data and Algorithms (CAIBDA)","9 Oct 2025","2025","","","1071","1075","In recent years, neural machine translation methods based on pre-trained language models have made significant progress in multilingual tasks. However, in English-Chinese translation, especially in the generation of long and complex sentences, it still faces challenges such as semantic drift and syntactic misalignment. To address this problem, this paper proposes an optimized BERT model that integrates a semantic alignment mechanism and a syntax-aware decoding strategy to improve the accuracy and structural naturalness of sentence generation in English-Chinese translation tasks. The model introduces a semantic fusion layer based on the standard BERT structure, enhances the source-target alignment capability through contextual semantic matching, and introduces a structural prior guidance mechanism at the decoding end to explicitly control the syntactic structure of the translation. The experimental part is trained and evaluated based on a parallel corpus constructed from college English writing courses, and the performance is compared with mainstream translation models. The results show that the proposed method performs well in traditional indicators such as BLEU and METEOR, and achieves significant improvements in the syntactic diversity index (SVI), effectively improving the naturalness and professional expression accuracy of the generated text. This work not only verifies the feasibility of structure-enhanced BERT in complex translation tasks, but also provides theoretical basis and practical support for the application of intelligent translation systems in academic scenarios.","","979-8-3315-2664-1","10.1109/CAIBDA65784.2025.11183388","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11183388","Optimized BERT model;English-Chinese machine translation;complex sentence generation;semantic alignment mechanism;syntactic enhancement decoder;academic writing translation","Translation;Accuracy;Semantics;Neural machine translation;Syntactics;Writing;Data models;Decoding;Multilingual;Standards","","1","","8","IEEE","9 Oct 2025","20-22 June 2025","20-22 June 2025","IEEE","IEEE Conferences"
"An NLP System for Automated Indian Penal Code Assignment from Crime Reports","A. S. Nandeppanavar; S. S. Hebbalakar; M. Kudari; P. N. Thotad; S. Kallur","Dept. of Master of Computer Applications, KLE Institute of Technology, Hubballi, India; Dept. of Master of Computer Applications, KLE Institute of Technology, Hubballi, India; Dept. of Master of Computer Applications, KLE Institute of Technology, Hubballi, India; Dept. of Computer Science and Engineering, K.L.E. Institute of Technology, Hubballi, India; Dept. of Computer Science and Engineering, K.L.E. Institute of Technology, Hubballi, India",2025 IEEE North Karnataka Subsection Flagship International Conference (NKCon),"21 Jan 2026","2025","","","1","6","The growing complexity of legal systems and the diversity of regional languages in India have made legal guidance less accessible to the general public. This paper introduces IPC Section Classifier an AI-driven platform designed to interpret user-submitted crime descriptions in multiple Indian languages and provide relevant sections of the Indian Penal Code (IPC). Leveraging a multilingual transformer-based model, semantic similarity matching, and real-time translation, the system bridges linguistic barriers to legal awareness. It also integrates text-to-speech functionality for auditory guidance. The paper outlines the system architecture, model training, and performance evaluation based on accuracy and relevance. Our results demonstrate that the proposed solution improves public access to legal information through an intelligent, language-agnostic interface.","","979-8-3315-5259-6","10.1109/NKCon66957.2025.11345781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11345781","Artificial Intelligence;Legal Technology;Indian Penal Code;Multilingual NLP;Semantic Similarity;Sentence Transformers;Legal Guidance System","Bridges;Training;Codes;Accuracy;Translation;Law;Navigation;Semantics;Transformers;Multilingual","","","","12","IEEE","21 Jan 2026","27-28 Sept. 2025","27-28 Sept. 2025","IEEE","IEEE Conferences"
"An Intelligent Proofreading Framework for Structured Official Documents Based on Large Language Models","J. Zhu; J. He; C. Zhu","School of Information Engineering, Dalian Ocean University, Dalian, China; School of Computer Science and Data Engineering, NingboTech University, Ningbo, China; School of Computer Science and Data Engineering, NingboTech University, Ningbo, China","2025 4th International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)","26 Feb 2026","2025","","","1","7","Traditional proofreading of official documents struggles to meet modern office requirements for semantic accuracy, format compliance, and efficiency. To address this challenge, this paper presents an intelligent proofreading framework that integrates fine-tuned large language models with LangChain workflow orchestration, Retrieval-Augmented Generation (RAG) for knowledge enhancement, TF-IDF semantic matching, and rule- and terminology-based validation. A domain-specific corpus was constructed from high-quality institutional texts, and Low-Rank Adaptation (LoRA) was applied for efficient model tuning. Experimental results show that the proposed framework outperforms mainstream models such as ChatGPT-4, DeepSeek, DouBao, and Qwen3-32B, achieving an average correction accuracy above 80%, an over-correction rate below 10%, and a 30% reduction in response time, while maintaining a Stability Index over 0.9. These results demonstrate that combining knowledge enhancement with rule constraints effectively improves the robustness and reliability of large language models for intelligent official document proofreading.","","979-8-3315-5493-4","10.1109/AIHCIR67580.2025.11405207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11405207","Intelligent Proofreading;Large Language Models;Official Document Processing;Knowledge Enhancement;Model Fine-tuning;Stability Analysis","Adaptation models;Accuracy;Large language models;Stability criteria;Semantics;Retrieval augmented generation;Robustness;Indexes;Time factors;Tuning","","","","22","IEEE","26 Feb 2026","28-30 Nov. 2025","28-30 Nov. 2025","IEEE","IEEE Conferences"
"INTELLIRECRUIT: An AI-Powered Resume Screening System Integrating Machine Learning, Natural Language Processing, and Fair Recruitment Automation","K.Poongothai; S. Aarthi; A.N.Loshiya; S.Anusri","Department of Information Technology, M. Kumarasamy College of Engineering, Tamilnadu, India; Department of Information Technology, M. Kumarasamy College of Engineering, Tamilnadu, India; Department of Information Technology, M. Kumarasamy College of Engineering, Tamilnadu, India; Department of Information Technology, M. Kumarasamy College of Engineering, Tamilnadu, India",2025 5th International Conference on Evolutionary Computing and Mobile Sustainable Networks (ICECMSN),"17 Feb 2026","2025","","","1","4","This work presents an intelligent recruitment support system that extends beyond candidate ranking to deliver comprehensive skill-gap analysis, enabling candidates to identify areas for improvement while providing recruiters with actionable insights. By integrating automated data extraction, semantic similarity matching, and rule-based decision mechanisms, the system reduces recruiter workload, enhances shortlist accuracy, and promotes a fair and transparent evaluation process. The approach addresses a critical need in modern recruitment by balancing automation with equity, ensuring equal opportunities while optimizing time and organizational resources. Owing to its adaptable architecture, the solution is applicable across corporate hiring, campus placements, and professional job platforms. Future enhancements include the incorporation of advanced transformer-based deep learning models, multilingual résumé processing, and real-time recruiter dashboards. Overall, the system supports Sustainable Development Goal 8 (Decent Work and Economic Growth) by fostering efficient, unbiased, and inclusive hiring practices.","","979-8-3315-8242-5","10.1109/ICECMSN68058.2025.11383136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11383136","Resume shortlisting;machine learning;natural language processing;TF-IDF;cosine similarity;logistic regression;random forest","Accuracy;Automation;Resumes;Semantics;Transforms;Transformers;Systems support;Data mining;Recruitment;Testing","","","","10","IEEE","17 Feb 2026","24-26 Nov. 2025","24-26 Nov. 2025","IEEE","IEEE Conferences"
"Cross-Lingual Semantic Integration: Enhancing Document Retrieval through Vector Space Models (VSM) and Machine Translation","A. Palit; D. Singh","Department of Computer Science & Informantion Technology, Lovely Professional University, Jalandhar, Punjab, India; Department of Computer Science & Informantion Technology, Lovely Professional University, Jalandhar, Punjab, India",2025 IEEE International Conference on Emerging Technologies and Applications (MPSec ICETA),"19 Aug 2025","2025","","","1","6","In this research, by combining machine translation with vector space models VSM for cross-lingual semantic integration this research offers a novel method for enhancing document retrieval especially in specialized fields like medical writings although they are good at identifying document similarities traditional VSMs sometimes have trouble effectively collecting semantic subtleties and pertinent terminology across languages we map multilingual materials into a single vector space by utilizing domain-specific machine translation which improves the ability to identify semantic links by removing language barriers and enhancing the retrieval of semantically related content this cross-lingual framework raises the standard of translations in specialized subjects when compared to conventional techniques our model exhibits notable gains in retrieval precision relevance and efficiency when tested on multilingual medical datasets with useful applications in cross-border data systems and multilingual knowledge management the suggested method provides a scalable framework for improving global documentation search and information retrieval.","","979-8-3315-2131-8","10.1109/MPSecICETA64837.2025.11118705","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11118705","Machine Translation;English-Hindi Translation;Natural Language Processing;BLEU Score;TF-IDF;Word Translation Probabilities;Support Vector Machine","Translation;Accuracy;Terminology;Semantics;Transformers;Vectors;Data models;Multilingual;Machine translation;Context modeling","","1","","25","IEEE","19 Aug 2025","21-23 Feb. 2025","21-23 Feb. 2025","IEEE","IEEE Conferences"
